Date,Total Assets,Total Liabilities Net Minority Interest,Stockholders Equity,Working Capital,Total Debt
2023-12-31,106618000000.0,43009000000.0,62634000000.0,20868000000.0,9573000000.0
2022-12-31,82338000000.0,36440000000.0,44704000000.0,14208000000.0,5748000000.0
2021-12-31,62131000000.0,30548000000.0,30189000000.0,7395000000.0,8873000000.0
2020-12-31,52148000000.0,28469000000.0,22225000000.0,12469000000.0,13279000000.0
2019-12-31,,,,,
